Confirmation Code,Student First Name,Student Middle Name,Student Last Name,Student Birthday,Student Gender,Student Street Address 1,Student Street Address 2,Student City,Student ZIP Code,Contact 1 First Name,Contact 1 Last Name,Contact 1 Phone,Contact 1 Email,Contact 1 Relationship,Contact 2 First Name,Contact 2 Last Name,Contact 2 Phone,Contact 2 Email,Contact 2 Relationship,Household Members,Household Monthly Income,Schools Applied
236,StudentFirst236,StudentMiddle236,StudentLast236,3/26/2010,Male,358 Fake St,,Providence,02178,ContactFirst236,ContactLast236,401-123-4802,123@gt-fake-email.edu.org,Mother,,,,,,5,3677,Providence - Smith Hill Early Childhood Learning Center;
237,StudentFirst237,StudentMiddle237,StudentLast237,3/26/2010,Male,359 Fake St,,Providence,02179,ContactFirst237,ContactLast237,401-123-4803,123@gt-fake-email.edu.org,Mother,,,,,,5,4302,Providence - The Mariposa Center;
238,StudentFirst238,StudentMiddle238,StudentLast238,3/26/2010,Male,360 Fake St,,Providence,02180,ContactFirst238,ContactLast238,401-123-4804,123@gt-fake-email.edu.org,Mother,,,,,,5,4302,Providence - Ready to Learn Providence at CCRI Liston Campus;
239,StudentFirst239,StudentMiddle239,StudentLast239,11/23/2009,Male,361 Fake St,,Pawtucket,02181,ContactFirst239,ContactLast239,401-123-4805,123@gt-fake-email.edu.org,Mother,,,,,,7,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
240,StudentFirst240,StudentMiddle240,StudentLast240,7/16/2010,Female,362 Fake St,,Warwick,02182,ContactFirst240,ContactLast240,401-123-4806,123@gt-fake-email.edu.org,Father,,,,,,3,2425,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
241,StudentFirst241,StudentMiddle241,StudentLast241,4/22/2010,Male,363 Fake St,,Warwick,02183,ContactFirst241,ContactLast241,401-123-4807,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Warwick - Westbay Community Action Children's Center;
242,StudentFirst242,StudentMiddle242,StudentLast242,9/24/2009,Female,364 Fake St,,Providence,02184,ContactFirst242,ContactLast242,401-123-4808,123@gt-fake-email.edu.org,Father,,,,,,4,6806,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
243,StudentFirst243,StudentMiddle243,StudentLast243,6/10/2010,Female,365 Fake St,,Woonsocket,02185,ContactFirst243,ContactLast243,401-123-4809,123@gt-fake-email.edu.org,Father,,,,,,4,3051,Woonsocket - Woonsocket Head Start Child Development Association;
244,StudentFirst244,StudentMiddle244,StudentLast244,9/24/2009,Female,366 Fake St,,Providence,02186,ContactFirst244,ContactLast244,401-123-4810,123@gt-fake-email.edu.org,Mother,,,,,,4,7432,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
245,StudentFirst245,StudentMiddle245,StudentLast245,11/8/2009,Female,367 Fake St,,Warwick,02187,ContactFirst245,ContactLast245,401-123-4811,123@gt-fake-email.edu.org,Mother,,,,,,4,5554,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
246,StudentFirst246,StudentMiddle246,StudentLast246,8/26/2010,Male,368 Fake St,,Woonsocket,02188,ContactFirst246,ContactLast246,401-123-4812,123@gt-fake-email.edu.org,Mother,,,,,,4,3677,Woonsocket - Woonsocket Head Start Child Development Association;
247,StudentFirst247,StudentMiddle247,StudentLast247,12/12/2009,Female,369 Fake St,,Warwick,02189,ContactFirst247,ContactLast247,401-123-4813,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Warwick - CHILD Inc.;
248,StudentFirst248,StudentMiddle248,StudentLast248,11/1/2009,Male,370 Fake St,,West Warwick,02190,ContactFirst248,ContactLast248,401-123-4814,123@gt-fake-email.edu.org,Mother,,,,,,6,6180,West Warwick - CHILD Inc.;
249,StudentFirst249,StudentMiddle249,StudentLast249,11/9/2009,Male,371 Fake St,,Pawtucket,02191,ContactFirst249,ContactLast249,401-123-4815,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
250,StudentFirst250,StudentMiddle250,StudentLast250,3/14/2010,Female,372 Fake St,,Central Falls,02192,ContactFirst250,ContactLast250,401-123-4816,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Central Falls - Capt. Hunt Early Learning Center;
251,StudentFirst251,StudentMiddle251,StudentLast251,8/15/2010,Female,373 Fake St,,Providence,02193,ContactFirst251,ContactLast251,401-123-4817,123@gt-fake-email.edu.org,Mother,,,,,,2,2425,Providence - Smith Hill Early Childhood Learning Center;
252,StudentFirst252,StudentMiddle252,StudentLast252,5/7/2010,Male,374 Fake St,,Providence,02194,ContactFirst252,ContactLast252,401-123-4818,123@gt-fake-email.edu.org,Father,,,,,,5,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
253,StudentFirst253,StudentMiddle253,StudentLast253,9/19/2009,Female,375 Fake St,,Newport,02195,ContactFirst253,ContactLast253,401-123-4819,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Newport - East Bay Community Action Head Start;
254,StudentFirst254,StudentMiddle254,StudentLast254,11/29/2009,Female,376 Fake St,,Warwick,02196,ContactFirst254,ContactLast254,401-123-4820,123@gt-fake-email.edu.org,Mother,,,,,,5,4928,Warwick - Imagine Preschool at CCRI Knight Campus;
255,StudentFirst255,StudentMiddle255,StudentLast255,4/7/2010,Female,377 Fake St,,Central Falls,02197,ContactFirst255,ContactLast255,401-123-4821,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Central Falls - Capt. Hunt Early Learning Center;
256,StudentFirst256,StudentMiddle256,StudentLast256,4/1/2010,Female,378 Fake St,,Central Falls,02198,ContactFirst256,ContactLast256,401-123-4822,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Central Falls - Capt. Hunt Early Learning Center;
257,StudentFirst257,StudentMiddle257,StudentLast257,12/9/2009,Male,379 Fake St,,Cranston,02199,ContactFirst257,ContactLast257,401-123-4823,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Cranston - Comprehensive Community Action Program (CCAP);
258,StudentFirst258,StudentMiddle258,StudentLast258,1/31/2010,Male,380 Fake St,,Warwick,02200,ContactFirst258,ContactLast258,401-123-4824,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
259,StudentFirst259,StudentMiddle259,StudentLast259,8/6/2010,Male,381 Fake St,,Providence,02201,ContactFirst259,ContactLast259,401-123-4825,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
260,StudentFirst260,StudentMiddle260,StudentLast260,10/8/2009,Female,382 Fake St,,Pawtucket,02202,ContactFirst260,ContactLast260,401-123-4826,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
261,StudentFirst261,StudentMiddle261,StudentLast261,4/25/2014,Male,383 Fake St,,Warwick,02203,ContactFirst261,ContactLast261,401-123-4827,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
262,StudentFirst262,StudentMiddle262,StudentLast262,11/10/2009,Female,384 Fake St,,Providence,02204,ContactFirst262,ContactLast262,401-123-4828,123@gt-fake-email.edu.org,Mother,,,,,,2,2425,Providence - Smith Hill Early Childhood Learning Center;
263,StudentFirst263,StudentMiddle263,StudentLast263,3/15/2010,Female,385 Fake St,,Central Falls,02205,ContactFirst263,ContactLast263,401-123-4829,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Central Falls - Capt. Hunt Early Learning Center;
264,StudentFirst264,StudentMiddle264,StudentLast264,3/1/2010,Female,386 Fake St,,Pawtucket,02206,ContactFirst264,ContactLast264,401-123-4830,123@gt-fake-email.edu.org,Mother,,,,,,4,6806,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
265,StudentFirst265,StudentMiddle265,StudentLast265,8/28/2010,Female,387 Fake St,,Providence,02207,ContactFirst265,ContactLast265,401-123-4831,123@gt-fake-email.edu.org,Father,,,,,,4,4928,Providence - Beautiful Beginnings;
266,StudentFirst266,StudentMiddle266,StudentLast266,8/28/2010,Female,388 Fake St,,Providence,02208,ContactFirst266,ContactLast266,401-123-4832,123@gt-fake-email.edu.org,Father,,,,,,4,4928,Providence - Ready to Learn Providence at CCRI Liston Campus;
267,StudentFirst267,StudentMiddle267,StudentLast267,8/28/2010,Female,389 Fake St,,Providence,02209,ContactFirst267,ContactLast267,401-123-4833,123@gt-fake-email.edu.org,Father,,,,,,4,4928,Providence - Smith Hill Early Childhood Learning Center;
268,StudentFirst268,StudentMiddle268,StudentLast268,8/28/2010,Female,390 Fake St,,Providence,02210,ContactFirst268,ContactLast268,401-123-4834,123@gt-fake-email.edu.org,Father,,,,,,4,4928,Providence - The Mariposa Center;
269,StudentFirst269,StudentMiddle269,StudentLast269,8/26/2010,Male,391 Fake St,,Pawtucket,02211,ContactFirst269,ContactLast269,401-123-4835,123@gt-fake-email.edu.org,Mother,,,,,,5,5554,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
270,StudentFirst270,StudentMiddle270,StudentLast270,6/5/2010,Male,392 Fake St,,Providence,02212,ContactFirst270,ContactLast270,401-123-4836,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - The Mariposa Center;
271,StudentFirst271,StudentMiddle271,StudentLast271,10/6/2009,Male,393 Fake St,,West Warwick,02213,ContactFirst271,ContactLast271,401-123-4837,123@gt-fake-email.edu.org,Mother,,,,,,4,6806,West Warwick - CHILD Inc.;
272,StudentFirst272,StudentMiddle272,StudentLast272,11/4/2009,Female,394 Fake St,,Newport,02214,ContactFirst272,ContactLast272,401-123-4838,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Newport - East Bay Community Action Head Start;
273,StudentFirst273,StudentMiddle273,StudentLast273,4/25/2010,Female,395 Fake St,,Woonsocket,02215,ContactFirst273,ContactLast273,401-123-4839,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Woonsocket - Woonsocket Head Start Child Development Association;
274,StudentFirst274,StudentMiddle274,StudentLast274,8/2/2010,Male,396 Fake St,,West Warwick,02216,ContactFirst274,ContactLast274,401-123-4840,123@gt-fake-email.edu.org,Mother,,,,,,4,4302,West Warwick - CHILD Inc.;
275,StudentFirst275,StudentMiddle275,StudentLast275,7/26/2010,Female,397 Fake St,,Pawtucket,02217,ContactFirst275,ContactLast275,401-123-4841,123@gt-fake-email.edu.org,Mother,,,,,,4,3051,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
276,StudentFirst276,StudentMiddle276,StudentLast276,5/3/2010,Male,398 Fake St,,Cranston,02218,ContactFirst276,ContactLast276,401-123-4842,123@gt-fake-email.edu.org,Mother,,,,,,5,5554,Cranston - Comprehensive Community Action Program (CCAP);
277,StudentFirst277,StudentMiddle277,StudentLast277,5/14/2010,Female,399 Fake St,,Providence,02219,ContactFirst277,ContactLast277,401-123-4843,123@gt-fake-email.edu.org,Mother,,,,,,3,3051,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
278,StudentFirst278,StudentMiddle278,StudentLast278,2/5/2010,Female,400 Fake St,,Providence,02220,ContactFirst278,ContactLast278,401-123-4844,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
279,StudentFirst279,StudentMiddle279,StudentLast279,3/1/2010,Male,401 Fake St,,Cranston,02221,ContactFirst279,ContactLast279,401-123-4845,123@gt-fake-email.edu.org,Mother,,,,,,2,3677,Cranston - Comprehensive Community Action Program (CCAP);
280,StudentFirst280,StudentMiddle280,StudentLast280,10/21/2014,Male,402 Fake St,,Pawtucket,02222,ContactFirst280,ContactLast280,401-123-4846,123@gt-fake-email.edu.org,Mother,,,,,,4,4928,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
281,StudentFirst281,StudentMiddle281,StudentLast281,11/10/2009,Female,403 Fake St,,Woonsocket,02223,ContactFirst281,ContactLast281,401-123-4847,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Woonsocket - Woonsocket Head Start Child Development Association;
282,StudentFirst282,StudentMiddle282,StudentLast282,2/8/2010,Male,404 Fake St,,Providence,02224,ContactFirst282,ContactLast282,401-123-4848,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
283,StudentFirst283,StudentMiddle283,StudentLast283,3/3/2010,Female,405 Fake St,,Warwick,02225,ContactFirst283,ContactLast283,401-123-4849,123@gt-fake-email.edu.org,Father,,,,,,4,5554,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
284,StudentFirst284,StudentMiddle284,StudentLast284,8/31/2010,Male,406 Fake St,,Providence,02226,ContactFirst284,ContactLast284,401-123-4850,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Providence - Smith Hill Early Childhood Learning Center;
285,StudentFirst285,StudentMiddle285,StudentLast285,8/31/2010,Male,407 Fake St,,Providence,02227,ContactFirst285,ContactLast285,401-123-4851,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Providence - Smith Hill Early Childhood Learning Center;
286,StudentFirst286,StudentMiddle286,StudentLast286,4/17/2010,Male,408 Fake St,,Cranston,02228,ContactFirst286,ContactLast286,401-123-4852,123@gt-fake-email.edu.org,Father,,,,,,4,3677,Cranston - Comprehensive Community Action Program (CCAP);
287,StudentFirst287,StudentMiddle287,StudentLast287,3/2/2010,Male,409 Fake St,,Pawtucket,02229,ContactFirst287,ContactLast287,401-123-4853,123@gt-fake-email.edu.org,Mother,,,,,,5,3677,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
288,StudentFirst288,StudentMiddle288,StudentLast288,4/6/2010,Female,410 Fake St,,Warwick,02230,ContactFirst288,ContactLast288,401-123-4854,123@gt-fake-email.edu.org,Mother,,,,,,5,4928,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
289,StudentFirst289,StudentMiddle289,StudentLast289,10/26/2009,Male,411 Fake St,,Warwick,02231,ContactFirst289,ContactLast289,401-123-4855,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Warwick - Westbay Community Action Children's Center;
290,StudentFirst290,StudentMiddle290,StudentLast290,2/24/2010,Male,412 Fake St,,West Warwick,02232,ContactFirst290,ContactLast290,401-123-4856,123@gt-fake-email.edu.org,Father,,,,,,3,4928,West Warwick - CHILD Inc.;
291,StudentFirst291,StudentMiddle291,StudentLast291,12/31/2009,Male,413 Fake St,,Providence,02233,ContactFirst291,ContactLast291,401-123-4857,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - The Mariposa Center;
292,StudentFirst292,StudentMiddle292,StudentLast292,2/10/2010,Female,414 Fake St,,Woonsocket,02234,ContactFirst292,ContactLast292,401-123-4858,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Woonsocket - Woonsocket Head Start Child Development Association;
293,StudentFirst293,StudentMiddle293,StudentLast293,8/6/2010,Female,415 Fake St,,Pawtucket,02235,ContactFirst293,ContactLast293,401-123-4859,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
294,StudentFirst294,StudentMiddle294,StudentLast294,1/5/2010,Male,416 Fake St,,Central Falls,02236,ContactFirst294,ContactLast294,401-123-4860,123@gt-fake-email.edu.org,Mother,,,,,,2,2425,Central Falls - Capt. Hunt Early Learning Center;
295,StudentFirst295,StudentMiddle295,StudentLast295,11/19/2009,Female,417 Fake St,,West Warwick,02237,ContactFirst295,ContactLast295,401-123-4861,123@gt-fake-email.edu.org,Mother,,,,,,5,4302,West Warwick - CHILD Inc.;
296,StudentFirst296,StudentMiddle296,StudentLast296,9/21/2009,Male,418 Fake St,,Pawtucket,02238,ContactFirst296,ContactLast296,401-123-4862,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
297,StudentFirst297,StudentMiddle297,StudentLast297,7/26/2010,Female,419 Fake St,,Pawtucket,02239,ContactFirst297,ContactLast297,401-123-4863,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
298,StudentFirst298,StudentMiddle298,StudentLast298,3/9/2010,Female,420 Fake St,,Pawtucket,02240,ContactFirst298,ContactLast298,401-123-4864,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
299,StudentFirst299,StudentMiddle299,StudentLast299,8/15/2010,Female,421 Fake St,,Providence,02241,ContactFirst299,ContactLast299,401-123-4865,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
300,StudentFirst300,StudentMiddle300,StudentLast300,5/13/2010,Male,422 Fake St,,Cranston,02242,ContactFirst300,ContactLast300,401-123-4866,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Cranston - Comprehensive Community Action Program (CCAP);
301,StudentFirst301,StudentMiddle301,StudentLast301,7/24/2010,Male,423 Fake St,,West Warwick,02243,ContactFirst301,ContactLast301,401-123-4867,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,West Warwick - CHILD Inc.;
302,StudentFirst302,StudentMiddle302,StudentLast302,7/15/2010,Male,424 Fake St,,Warwick,02244,ContactFirst302,ContactLast302,401-123-4868,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Warwick - CHILD Inc.;
303,StudentFirst303,StudentMiddle303,StudentLast303,7/15/2010,Male,425 Fake St,,Warwick,02245,ContactFirst303,ContactLast303,401-123-4869,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Warwick - Westbay Community Action Children's Center;
304,StudentFirst304,StudentMiddle304,StudentLast304,1/17/2010,Male,426 Fake St,,Woonsocket,02246,ContactFirst304,ContactLast304,401-123-4870,123@gt-fake-email.edu.org,Mother,,,,,,2,2425,Woonsocket - Woonsocket Head Start Child Development Association;
305,StudentFirst305,StudentMiddle305,StudentLast305,9/20/2009,Male,427 Fake St,,Pawtucket,02247,ContactFirst305,ContactLast305,401-123-4871,123@gt-fake-email.edu.org,Mother,,,,,,6,6180,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
306,StudentFirst306,StudentMiddle306,StudentLast306,9/13/2009,Male,428 Fake St,,Newport,02248,ContactFirst306,ContactLast306,401-123-4872,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Newport - East Bay Community Action Head Start;
307,StudentFirst307,StudentMiddle307,StudentLast307,5/27/2014,Female,429 Fake St,,Newport,02249,ContactFirst307,ContactLast307,401-123-4873,123@gt-fake-email.edu.org,Mother,,,,,,2,4928,Newport - East Bay Community Action Head Start;
308,StudentFirst308,StudentMiddle308,StudentLast308,3/27/2010,Male,430 Fake St,,Cranston,02250,ContactFirst308,ContactLast308,401-123-4874,123@gt-fake-email.edu.org,Mother,,,,,,3,6806,Cranston - Comprehensive Community Action Program (CCAP);
309,StudentFirst309,StudentMiddle309,StudentLast309,9/13/2009,Male,431 Fake St,,Providence,02251,ContactFirst309,ContactLast309,401-123-4875,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
310,StudentFirst310,StudentMiddle310,StudentLast310,2/8/2010,Female,432 Fake St,,Pawtucket,02252,ContactFirst310,ContactLast310,401-123-4876,123@gt-fake-email.edu.org,Mother,,,,,,3,4928,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
311,StudentFirst311,StudentMiddle311,StudentLast311,1/5/2010,Female,433 Fake St,,Providence,02253,ContactFirst311,ContactLast311,401-123-4877,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
312,StudentFirst312,StudentMiddle312,StudentLast312,6/1/2010,Female,434 Fake St,,Cranston,02254,ContactFirst312,ContactLast312,401-123-4878,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Cranston - Comprehensive Community Action Program (CCAP);
313,StudentFirst313,StudentMiddle313,StudentLast313,7/19/2010,Female,435 Fake St,,Cranston,02255,ContactFirst313,ContactLast313,401-123-4879,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Cranston - Comprehensive Community Action Program (CCAP);
314,StudentFirst314,StudentMiddle314,StudentLast314,12/9/2010,Female,436 Fake St,,Providence,02256,ContactFirst314,ContactLast314,401-123-4880,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Providence - Beautiful Beginnings;
315,StudentFirst315,StudentMiddle315,StudentLast315,8/5/2010,Female,437 Fake St,,Providence,02257,ContactFirst315,ContactLast315,401-123-4881,123@gt-fake-email.edu.org,Mother,,,,,,5,3677,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;
316,StudentFirst316,StudentMiddle316,StudentLast316,12/11/2009,Female,438 Fake St,,West Warwick,02258,ContactFirst316,ContactLast316,401-123-4882,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,West Warwick - CHILD Inc.;
317,StudentFirst317,StudentMiddle317,StudentLast317,9/29/2009,Male,439 Fake St,,Central Falls,02259,ContactFirst317,ContactLast317,401-123-4883,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Central Falls - Capt. Hunt Early Learning Center;
318,StudentFirst318,StudentMiddle318,StudentLast318,2/22/2010,Female,440 Fake St,,Pawtucket,02260,ContactFirst318,ContactLast318,401-123-4884,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
319,StudentFirst319,StudentMiddle319,StudentLast319,12/6/2009,Female,441 Fake St,,Woonsocket,02261,ContactFirst319,ContactLast319,401-123-4885,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Woonsocket - Woonsocket Head Start Child Development Association;
320,StudentFirst320,StudentMiddle320,StudentLast320,9/16/2009,Female,442 Fake St,,Newport,02262,ContactFirst320,ContactLast320,401-123-4886,123@gt-fake-email.edu.org,Mother,,,,,,4,6806,Newport - East Bay Community Action Head Start;
321,StudentFirst321,StudentMiddle321,StudentLast321,11/5/2009,Female,443 Fake St,,West Warwick,02263,ContactFirst321,ContactLast321,401-123-4887,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,West Warwick - CHILD Inc.;
322,StudentFirst322,StudentMiddle322,StudentLast322,1/1/2010,Female,444 Fake St,,Newport,02264,ContactFirst322,ContactLast322,401-123-4888,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Newport - East Bay Community Action Head Start;
323,StudentFirst323,StudentMiddle323,StudentLast323,6/14/2010,Male,445 Fake St,,Providence,02265,ContactFirst323,ContactLast323,401-123-4889,123@gt-fake-email.edu.org,Father,,,,,,7,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
324,StudentFirst324,StudentMiddle324,StudentLast324,6/23/2010,Male,446 Fake St,,Pawtucket,02266,ContactFirst324,ContactLast324,401-123-4890,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
325,StudentFirst325,StudentMiddle325,StudentLast325,11/1/2009,Female,447 Fake St,,Pawtucket,02267,ContactFirst325,ContactLast325,401-123-4891,123@gt-fake-email.edu.org,Father,,,,,,3,4302,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
326,StudentFirst326,StudentMiddle326,StudentLast326,7/13/2010,Male,448 Fake St,,Woonsocket,02268,ContactFirst326,ContactLast326,401-123-4892,123@gt-fake-email.edu.org,Mother,,,,,,2,2425,Woonsocket - Woonsocket Head Start Child Development Association;
327,StudentFirst327,StudentMiddle327,StudentLast327,1/27/2010,Male,449 Fake St,,Woonsocket,02269,ContactFirst327,ContactLast327,401-123-4893,123@gt-fake-email.edu.org,Mother,,,,,,8,2425,Woonsocket - Woonsocket Head Start Child Development Association;
328,StudentFirst328,StudentMiddle328,StudentLast328,5/26/2010,Male,450 Fake St,,Central Falls,02270,ContactFirst328,ContactLast328,401-123-4894,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Central Falls - Capt. Hunt Early Learning Center;
329,StudentFirst329,StudentMiddle329,StudentLast329,2/28/2010,Female,451 Fake St,,Providence,02271,ContactFirst329,ContactLast329,401-123-4895,123@gt-fake-email.edu.org,Mother,,,,,,5,4302,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
330,StudentFirst330,StudentMiddle330,StudentLast330,3/28/2010,Male,452 Fake St,,Providence,02272,ContactFirst330,ContactLast330,401-123-4896,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
331,StudentFirst331,StudentMiddle331,StudentLast331,4/20/2010,Male,453 Fake St,,Newport,02273,ContactFirst331,ContactLast331,401-123-4897,123@gt-fake-email.edu.org,Father,,,,,,3,2425,Newport - East Bay Community Action Head Start;
332,StudentFirst332,StudentMiddle332,StudentLast332,1/23/2010,Male,454 Fake St,,Pawtucket,02274,ContactFirst332,ContactLast332,401-123-4898,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
333,StudentFirst333,StudentMiddle333,StudentLast333,1/30/2010,Male,455 Fake St,,Pawtucket,02275,ContactFirst333,ContactLast333,401-123-4899,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
334,StudentFirst334,StudentMiddle334,StudentLast334,2/9/2010,Female,456 Fake St,,Providence,02276,ContactFirst334,ContactLast334,401-123-4900,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Providence - Beautiful Beginnings;
335,StudentFirst335,StudentMiddle335,StudentLast335,8/13/2010,Female,457 Fake St,,Central Falls,02277,ContactFirst335,ContactLast335,401-123-4901,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Central Falls - Capt. Hunt Early Learning Center;
